participant_id,specification,task,before_ac,before_frs,before_invariants,before_neg_req,before_constraints,before_exception,before_tie_breaking,hidden_passed,hidden_failed,hidden_total,pass_rate,passed_tests_phase1,failed_tests_phase1
S0025,G2,B,0,0,0,0,0,0,0,15,18,33,0.45454545454545453,test_TC5_resources_not_dict;test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC14_none_resources;test_TC15_none_requests;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC24_string_number;test_TC25_string_number_in_request;test_TC28_valid_float;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu,test_TC1_negative_resource_value;test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC21_zero_and_negative_mix;test_TC22_valid_zero_values;test_TC23_request_with_extra_invalid_key;test_TC26_empty_requests_valid;test_TC27_empty_requests_invalid_resources;test_TC29_invalid_float_nan_request;test_TC30_one_resource_must_remain_false;test_TC33_multi_resource_exact_cpu
S0026,G2,B,1,0,0,0,1,0,0,16,17,33,0.48484848484848486,test_TC5_resources_not_dict;test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC14_none_resources;test_TC15_none_requests;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC24_string_number;test_TC25_string_number_in_request;test_TC26_empty_requests_valid;test_TC28_valid_float;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu,test_TC1_negative_resource_value;test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC21_zero_and_negative_mix;test_TC22_valid_zero_values;test_TC23_request_with_extra_invalid_key;test_TC27_empty_requests_invalid_resources;test_TC29_invalid_float_nan_request;test_TC30_one_resource_must_remain_false;test_TC33_multi_resource_exact_cpu
S0027,G2,B,1,0,0,0,1,0,0,16,17,33,0.48484848484848486,test_TC5_resources_not_dict;test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC14_none_resources;test_TC15_none_requests;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC24_string_number;test_TC25_string_number_in_request;test_TC26_empty_requests_valid;test_TC28_valid_float;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu,test_TC1_negative_resource_value;test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC21_zero_and_negative_mix;test_TC22_valid_zero_values;test_TC23_request_with_extra_invalid_key;test_TC27_empty_requests_invalid_resources;test_TC29_invalid_float_nan_request;test_TC30_one_resource_must_remain_false;test_TC33_multi_resource_exact_cpu
S0028,G2,B,1,0,0,0,1,0,0,16,17,33,0.48484848484848486,test_TC5_resources_not_dict;test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC14_none_resources;test_TC15_none_requests;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC24_string_number;test_TC25_string_number_in_request;test_TC26_empty_requests_valid;test_TC28_valid_float;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu,test_TC1_negative_resource_value;test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC21_zero_and_negative_mix;test_TC22_valid_zero_values;test_TC23_request_with_extra_invalid_key;test_TC27_empty_requests_invalid_resources;test_TC29_invalid_float_nan_request;test_TC30_one_resource_must_remain_false;test_TC33_multi_resource_exact_cpu
S0029,G2,B,1,0,0,0,1,0,0,12,21,33,0.36363636363636365,test_TC1_negative_resource_value;test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC21_zero_and_negative_mix;test_TC26_empty_requests_valid;test_TC28_valid_float;test_TC29_invalid_float_nan_request;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu,test_TC5_resources_not_dict;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC14_none_resources;test_TC15_none_requests;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC22_valid_zero_values;test_TC23_request_with_extra_invalid_key;test_TC24_string_number;test_TC25_string_number_in_request;test_TC27_empty_requests_invalid_resources;test_TC30_one_resource_must_remain_false;test_TC33_multi_resource_exact_cpu
S0030,G2,B,1,0,0,0,1,0,0,14,19,33,0.42424242424242425,test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC21_zero_and_negative_mix;test_TC22_valid_zero_values;test_TC26_empty_requests_valid;test_TC28_valid_float;test_TC29_invalid_float_nan_request;test_TC30_one_resource_must_remain_false;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu;test_TC33_multi_resource_exact_cpu,test_TC1_negative_resource_value;test_TC5_resources_not_dict;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC14_none_resources;test_TC15_none_requests;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC23_request_with_extra_invalid_key;test_TC24_string_number;test_TC25_string_number_in_request;test_TC27_empty_requests_invalid_resources
S0031,G2,B,1,0,0,0,1,0,0,13,20,33,0.3939393939393939,test_TC1_negative_resource_value;test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC15_none_requests;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC21_zero_and_negative_mix;test_TC26_empty_requests_valid;test_TC28_valid_float;test_TC29_invalid_float_nan_request;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu,test_TC5_resources_not_dict;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC14_none_resources;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC22_valid_zero_values;test_TC23_request_with_extra_invalid_key;test_TC24_string_number;test_TC25_string_number_in_request;test_TC27_empty_requests_invalid_resources;test_TC30_one_resource_must_remain_false;test_TC33_multi_resource_exact_cpu
S0032,G2,B,1,0,0,0,1,0,0,16,17,33,0.48484848484848486,test_TC5_resources_not_dict;test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC14_none_resources;test_TC15_none_requests;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC24_string_number;test_TC25_string_number_in_request;test_TC26_empty_requests_valid;test_TC28_valid_float;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu,test_TC1_negative_resource_value;test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC21_zero_and_negative_mix;test_TC22_valid_zero_values;test_TC23_request_with_extra_invalid_key;test_TC27_empty_requests_invalid_resources;test_TC29_invalid_float_nan_request;test_TC30_one_resource_must_remain_false;test_TC33_multi_resource_exact_cpu
S0033,G2,B,1,0,0,0,1,0,0,14,19,33,0.42424242424242425,test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC15_none_requests;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC24_string_number;test_TC25_string_number_in_request;test_TC26_empty_requests_valid;test_TC28_valid_float;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu,test_TC1_negative_resource_value;test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC5_resources_not_dict;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC14_none_resources;test_TC21_zero_and_negative_mix;test_TC22_valid_zero_values;test_TC23_request_with_extra_invalid_key;test_TC27_empty_requests_invalid_resources;test_TC29_invalid_float_nan_request;test_TC30_one_resource_must_remain_false;test_TC33_multi_resource_exact_cpu
S0034,G2,B,1,0,0,0,1,0,0,16,17,33,0.48484848484848486,test_TC5_resources_not_dict;test_TC8_resource_value_not_number;test_TC9_request_value_not_number;test_TC14_none_resources;test_TC15_none_requests;test_TC16_nested_invalid_request;test_TC17_list_inside_request_value;test_TC18_tuple_inside_request_value;test_TC19_valid_simple_case;test_TC20_valid_multi_resource;test_TC24_string_number;test_TC25_string_number_in_request;test_TC26_empty_requests_valid;test_TC28_valid_float;test_TC31_one_resource_must_remain_true;test_TC32_multi_resource_exact_cpu,test_TC1_negative_resource_value;test_TC2_negative_request_value;test_TC3_nan_value;test_TC4_infinite_value;test_TC6_requests_not_list;test_TC7_request_item_not_dict;test_TC10_resource_key_not_string;test_TC11_request_key_not_string;test_TC12_missing_resource_type;test_TC13_empty_resource_dict_invalid;test_TC21_zero_and_negative_mix;test_TC22_valid_zero_values;test_TC23_request_with_extra_invalid_key;test_TC27_empty_requests_invalid_resources;test_TC29_invalid_float_nan_request;test_TC30_one_resource_must_remain_false;test_TC33_multi_resource_exact_cpu
