anon_id,specification,Task,num_hidden_test_passed_phase1,num_hidden_test_failed_phase1,num_hidden_test_passed_phase2,num_hidden_test_failed_phase2,phase1_passed_denominator,regression_occurrence,regression_severity,regression_rate,regression_tests,num_newly_fixed
S0001,G1,A,10,23,10,23,10,0,0,0.0,[],0
S0002,G1,A,12,21,12,21,12,0,0,0.0,[],0
S0003,G1,A,10,23,10,23,10,0,0,0.0,[],0
S0004,G1,A,5,28,7,26,5,0,0,0.0,[],2
S0005,G1,A,13,20,13,20,13,0,0,0.0,[],0
S0006,G1,A,12,21,12,21,12,0,0,0.0,[],0
S0007,G1,A,10,23,13,20,10,0,0,0.0,[],3
S0008,G1,A,13,20,13,20,13,0,0,0.0,[],0
S0009,G1,A,10,23,12,21,10,0,0,0.0,[],2
S0010,G1,A,10,23,10,23,10,0,0,0.0,[],0
S0011,G1,A,11,22,11,22,11,0,0,0.0,[],0
S0012,G1,A,12,21,16,17,12,0,0,0.0,[],4
S0013,G1,B,14,19,17,16,14,0,0,0.0,[],3
S0014,G1,B,13,20,13,20,13,1,1,0.07692307692307693,['test_TC10_resource_key_not_string'],1
S0015,G1,B,12,21,15,18,12,0,0,0.0,[],3
S0016,G1,B,14,19,17,16,14,0,0,0.0,[],3
S0017,G1,B,9,24,12,21,9,0,0,0.0,[],3
S0018,G1,B,12,21,15,18,12,0,0,0.0,[],3
S0019,G1,B,16,17,19,14,16,0,0,0.0,[],3
S0020,G1,B,12,21,12,21,12,0,0,0.0,[],0
S0021,G1,B,9,24,12,21,9,0,0,0.0,[],3
S0022,G1,B,9,24,12,21,9,0,0,0.0,[],3
S0023,G1,B,16,17,18,15,16,1,1,0.0625,['test_TC14_none_resources'],3
S0024,G1,B,11,22,14,19,11,0,0,0.0,[],3
S0025,G2,B,15,18,33,0,15,0,0,0.0,[],18
S0026,G2,B,16,17,33,0,16,0,0,0.0,[],17
S0027,G2,B,16,17,10,23,16,1,8,0.5,"['test_TC14_none_resources', 'test_TC19_valid_simple_case', 'test_TC20_valid_multi_resource', 'test_TC26_empty_requests_valid', 'test_TC28_valid_float', 'test_TC31_one_resource_must_remain_true', 'test_TC32_multi_resource_exact_cpu', 'test_TC5_resources_not_dict']",2
S0028,G2,B,16,17,33,0,16,0,0,0.0,[],17
S0029,G2,B,12,21,26,7,12,0,0,0.0,[],14
S0030,G2,B,14,19,33,0,14,0,0,0.0,[],19
S0031,G2,B,13,20,33,0,13,0,0,0.0,[],20
S0032,G2,B,16,17,33,0,16,0,0,0.0,[],17
S0033,G2,B,14,19,33,0,14,0,0,0.0,[],19
S0034,G2,B,16,17,33,0,16,0,0,0.0,[],17
S0035,G2,B,14,19,33,0,14,0,0,0.0,[],19
S0036,G2,B,14,19,32,1,14,1,1,0.07142857142857142,['test_TC32_multi_resource_exact_cpu'],19
S0037,G2,A,14,19,17,16,14,0,0,0.0,[],3
S0038,G2,A,10,23,10,23,10,0,0,0.0,[],0
S0039,G2,A,11,22,17,16,11,0,0,0.0,[],6
S0040,G2,A,16,17,19,14,16,0,0,0.0,[],3
S0041,G2,A,9,24,15,18,9,0,0,0.0,[],6
S0042,G2,A,12,21,20,13,12,0,0,0.0,[],8
S0043,G2,A,10,23,19,14,10,0,0,0.0,[],9
S0044,G2,A,12,21,22,11,12,0,0,0.0,[],10
S0045,G2,A,15,18,18,15,15,0,0,0.0,[],3
S0046,G2,A,11,22,15,18,11,0,0,0.0,[],4
S0047,G2,A,10,23,17,16,10,0,0,0.0,[],7
S0048,G2,A,14,19,21,12,14,0,0,0.0,[],7
S0049,G3,A,13,20,16,17,13,0,0,0.0,[],3
S0050,G3,B,0,33,7,26,0,0,0,,[],7
S0051,G3,B,14,19,17,16,14,0,0,0.0,[],3
S0052,G3,B,9,24,9,24,9,0,0,0.0,[],0
S0053,G3,A,15,18,15,18,15,0,0,0.0,[],0
S0054,G3,A,18,15,21,12,18,0,0,0.0,[],3
S0055,G3,A,19,14,22,11,19,0,0,0.0,[],3
S0056,G3,A,32,1,32,1,32,0,0,0.0,[],0
S0057,G3,A,22,11,21,12,22,1,1,0.045454545454545456,['test_TC30_meeting_duration_multiple_of_30[20-False]'],0
S0058,G3,A,22,11,22,11,22,0,0,0.0,[],0
S0059,G3,A,19,14,22,11,19,0,0,0.0,[],3
S0060,G3,A,22,11,22,11,22,0,0,0.0,[],0
S0061,G3,A,19,14,22,11,19,0,0,0.0,[],3
S0062,G3,A,19,14,21,12,19,1,1,0.05263157894736842,['test_TC30_meeting_duration_multiple_of_30[20-False]'],3
S0063,G3,A,33,0,32,1,33,1,1,0.030303030303030304,['test_TC9_friday_cutoff'],0
S0064,G3,B,30,3,33,0,30,0,0,0.0,[],3
S0065,G3,B,30,3,33,0,30,0,0,0.0,[],3
S0066,G3,B,24,9,33,0,24,0,0,0.0,[],9
S0067,G3,B,30,3,32,1,30,1,1,0.03333333333333333,['test_TC32_multi_resource_exact_cpu'],3
S0068,G3,B,24,9,33,0,24,0,0,0.0,[],9
S0069,G3,B,30,3,33,0,30,0,0,0.0,[],3
S0070,G3,B,30,3,33,0,30,0,0,0.0,[],3
S0071,G3,B,30,3,33,0,30,0,0,0.0,[],3
S0072,G3,B,15,18,33,0,15,0,0,0.0,[],18
