id,Task,specification,spec_label_explicitly_referred_to_specification_llm,explicitly_referred_to_spec_man,spec_label_carried_constraints_from_spec_llm,carried_constraints_from_spec_man,spec_label_carried_edge_cases_from_spec_llm,carried_edge_cases_from_spec_man,spec_label_asked_to_preserve_invariants_llm,asked_to_preserve_invariants_man,spec_label_asked_to_update_or_generate_tests_based_on_spec_llm,asked_to_update_or_generate_tests_based_on_spec_man,spec_label_omitted_important_spec_elements_llm,omitted_important_spec_elements_man
S0037,A,G2,False,True,True,True,True,True,False,False,False,False,True,True
S0037,A,G2,False,True,False,False,False,False,False,False,False,False,False,True
S0037,A,G2,True,True,True,True,True,True,False,False,True,True,True,True
S0044,A,G2,False,False,False,False,False,False,False,False,False,False,True,False
S0049,A,G3,False,True,False,False,False,False,False,False,False,False,False,True
S0049,A,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0049,A,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0049,A,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0049,A,G3,False,True,False,False,False,False,False,False,True,True,False,True
S0049,A,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0049,A,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0052,B,G3,False,False,False,False,False,False,False,False,False,False,True,False
S0052,B,G3,False,False,False,True,False,True,False,False,False,False,True,False
S0052,B,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0052,B,G3,False,False,False,True,False,False,False,False,False,False,False,False
S0052,B,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0052,B,G3,True,True,False,False,False,False,False,False,False,False,False,False
S0052,B,G3,False,True,False,False,False,False,False,False,False,False,False,False
S0052,B,G3,False,True,False,False,False,False,False,True,False,False,False,False
S0052,B,G3,False,True,False,False,False,True,False,False,False,False,False,False
S0052,B,G3,False,True,False,False,False,True,False,False,False,False,False,False
S0053,A,G3,False,False,True,True,False,False,False,False,False,False,True,False
S0053,A,G3,True,False,True,True,True,True,False,False,False,False,False,False
S0053,A,G3,False,True,False,True,False,True,False,False,False,False,False,False
S0053,A,G3,False,True,True,True,True,True,False,False,True,False,True,True
S0053,A,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0053,A,G3,False,True,True,True,True,True,False,False,False,False,False,False
S0062,A,G3,True,True,True,True,True,True,True,True,False,False,False,False
S0062,A,G3,False,False,False,False,False,True,False,False,False,False,False,False
S0062,A,G3,False,False,False,True,False,True,False,False,False,False,False,False
S0065,B,G3,True,True,True,True,True,True,False,True,False,False,False,False
S0069,B,G3,True,True,True,True,False,True,False,True,False,False,False,False
S0069,B,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0069,B,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0037,A,G2,True,True,True,True,True,True,True,True,True,True,False,False
S0037,A,G2,False,True,True,True,False,True,False,True,False,False,True,True
S0037,A,G2,False,True,False,True,False,True,False,False,False,False,False,True
S0037,A,G2,False,True,True,True,True,True,False,True,True,True,True,False
S0037,A,G2,True,True,True,True,True,True,False,True,True,True,False,False
S0044,A,G2,True,True,True,True,True,True,True,True,True,True,False,True
S0044,A,G2,True,True,True,True,False,True,False,True,True,True,False,False
S0049,A,G3,True,True,True,True,True,True,False,True,True,True,False,False
S0049,A,G3,False,True,False,True,False,True,True,True,False,False,True,False
S0049,A,G3,False,True,True,True,True,True,False,False,True,True,True,False
S0049,A,G3,False,False,False,True,False,True,False,False,False,False,False,False
S0051,B,G3,True,True,True,True,True,True,True,True,True,True,False,False
S0051,B,G3,False,False,True,True,False,True,True,False,False,False,False,False
S0051,B,G3,False,False,True,True,False,True,True,False,False,False,True,False
S0051,B,G3,False,False,True,True,False,True,False,False,False,False,True,False
S0051,B,G3,True,True,True,True,False,True,True,False,False,False,True,False
S0051,B,G3,False,True,False,True,False,True,True,False,False,False,True,False
S0051,B,G3,False,True,True,True,False,True,False,True,False,False,True,False
S0051,B,G3,False,True,True,True,True,True,True,False,False,False,True,False
S0051,B,G3,False,True,True,True,True,True,True,False,False,False,True,False
S0051,B,G3,False,True,True,True,False,True,False,False,False,False,True,False
S0051,B,G3,False,False,True,True,False,True,False,False,False,False,True,True
S0051,B,G3,False,False,True,True,False,True,False,False,False,False,True,False
S0052,B,G3,True,True,True,True,True,True,False,True,True,True,False,False
S0062,A,G3,True,True,True,True,True,True,True,True,False,True,False,False
S0062,A,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0062,A,G3,False,False,False,True,False,True,False,False,False,False,False,False
S0062,A,G3,True,False,True,True,True,True,True,False,False,False,False,False
S0062,A,G3,False,False,False,False,False,False,False,False,False,False,False,False
S0065,B,G3,True,True,True,True,False,True,False,True,True,True,False,False
S0065,B,G3,True,True,False,False,True,True,False,False,False,False,True,False
S0068,B,G3,True,True,True,True,True,True,False,False,True,True,True,False
S0068,B,G3,False,True,False,True,False,False,False,False,False,False,True,True
