predictor,n,estimate_per_1sd,std_error,ci_low,ci_high,p_value,p_adj_fdr
prompt_count,125,-4.069179721221985,2.4114610021309235,-8.795556435521462,0.6571969930774912,0.09152005532280551,1.0
prompt_total_len,125,-1.3797948525617934,2.575798943867564,-6.428268013958527,3.6686783088349406,0.5921821773238021,1.0
prompt_avg_len,125,3.4512239673432203,2.9731554103109312,-2.3760535573066113,9.278501491993051,0.24572527233990182,1.0
clarification_count,125,-5.34709665867472,2.5521086004076325,-10.349137600108604,-0.34505571724083595,0.03615604735461337,1.0
debugging_count,125,0.5799234144100088,1.939223562518053,-3.220884926096833,4.380731754916851,0.7649024433038616,1.0
code_generation_count,125,-3.5706160525706463,3.870445498234574,-11.156549833235598,4.015317728094304,0.35625030804100133,1.0
test_generation_count,125,-0.44574169017240783,1.949768125711709,-4.267216994771522,3.3757336144267063,0.8191699788674892,1.0
ptype_category_clarification_reason_developer_asks_for_an_explanation_of_the_files_content_and_to_understand_the_requirements_which_is_a_request_for_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_developer_asks_the_model_to_assess_possible_causes_of_a_failure_invariant_violation_missing_constraint_tiebreaking_parsing_assumption_and_seeks_clarification_on_which_is_most_likely_share,125,,,,,,1.0
ptype_category_clarification_reason_developer_is_asking_to_clarify_the_scheduling_rules_and_specifications_from_tests_and_description_before_coding_the_suggest_slots_function_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_a_question_about_handling_the_notimplementederror_placeholder_after_implementing_the_function_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_a_question_about_whether_they_should_validate_request_structure_seeking_clarification_rather_than_code_debugging_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_a_question_to_clarify_whether_a_change_impacts_input_validation_or_error_handling_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_a_question_to_clarify_whether_a_specific_value_1500_is_permitted_indicating_a_need_for_information_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_a_question_to_clarify_whether_an_allocation_that_exactly_matches_capacities_is_considered_invalid_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_a_question_to_understand_any_special_constraints_or_rules_seeking_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_a_question_to_understand_any_special_constraints_or_rules_which_is_a_request_for_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_a_question_to_understand_the_systems_objective_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
